service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA_C2-Sunday,0,0,0,0,0,0,1,20220626,20220828
CA_C2-Weekday-SDon,1,1,1,1,1,0,0,20220627,20220902
CA_C2-Saturday,0,0,0,0,0,1,0,20220702,20220903
CH_C2-Sunday,0,0,0,0,0,0,1,20220626,20220828
CH_C2-Weekday-SDon,1,1,1,1,1,0,0,20220627,20220902
CH_C2-Saturday,0,0,0,0,0,1,0,20220702,20220903
MA_C2-Sunday,0,0,0,0,0,0,1,20220626,20220828
MA_C2-Weekday-SDon,1,1,1,1,1,0,0,20220627,20220902
MA_C2-Saturday,0,0,0,0,0,1,0,20220702,20220903
YU_C2-Sunday,0,0,0,0,0,0,1,20220626,20220828
YU_C2-Weekday-SDon,1,1,1,1,1,0,0,20220627,20220902
YU_C2-Saturday,0,0,0,0,0,1,0,20220702,20220903
