service_id,date,exception_type
CA_C2-Weekday-SDon,20220704,2
CA_C2-Weekday-SDon,20220628,2
CA_C2-Weekday-SDon,20220629,2
CA_C2-Weekday-SDon,20220630,2
CA_C2-Weekday-SDon,20220701,2
CA_C2-Weekday-SDon,20220815,2
CA_C2-Weekday-SDon,20220816,2
CA_C2-Weekday-SDon,20220817,2
CA_C2-Weekday-SDon,20220818,2
CA_C2-Weekday-SDon,20220819,2
CA_C2-Weekday-SDon,20220822,2
CA_C2-Weekday-SDon,20220823,2
CA_C2-Weekday-SDon,20220824,2
CA_C2-Weekday-SDon,20220825,2
CA_C2-Weekday-SDon,20220826,2
CA_C2-Weekday-SDon,20220829,2
CA_C2-Weekday-SDon,20220830,2
CA_C2-Weekday-SDon,20220831,2
CA_C2-Weekday-SDon,20220901,2
CA_C2-Weekday-SDon,20220902,2
CA_C2-Weekday,20220628,1
CA_C2-Weekday,20220629,1
CA_C2-Weekday,20220630,1
CA_C2-Weekday,20220701,1
CA_C2-Weekday,20220815,1
CA_C2-Weekday,20220816,1
CA_C2-Weekday,20220817,1
CA_C2-Weekday,20220818,1
CA_C2-Weekday,20220819,1
CA_C2-Weekday,20220822,1
CA_C2-Weekday,20220823,1
CA_C2-Weekday,20220824,1
CA_C2-Weekday,20220825,1
CA_C2-Weekday,20220826,1
CA_C2-Weekday,20220829,1
CA_C2-Weekday,20220830,1
CA_C2-Weekday,20220831,1
CA_C2-Weekday,20220901,1
CA_C2-Weekday,20220902,1
CA_C2-Saturday,20220704,1
CH_C2-Weekday-SDon,20220704,2
CH_C2-Weekday-SDon,20220628,2
CH_C2-Weekday-SDon,20220629,2
CH_C2-Weekday-SDon,20220630,2
CH_C2-Weekday-SDon,20220701,2
CH_C2-Weekday-SDon,20220815,2
CH_C2-Weekday-SDon,20220816,2
CH_C2-Weekday-SDon,20220817,2
CH_C2-Weekday-SDon,20220818,2
CH_C2-Weekday-SDon,20220819,2
CH_C2-Weekday-SDon,20220822,2
CH_C2-Weekday-SDon,20220823,2
CH_C2-Weekday-SDon,20220824,2
CH_C2-Weekday-SDon,20220825,2
CH_C2-Weekday-SDon,20220826,2
CH_C2-Weekday-SDon,20220829,2
CH_C2-Weekday-SDon,20220830,2
CH_C2-Weekday-SDon,20220831,2
CH_C2-Weekday-SDon,20220901,2
CH_C2-Weekday-SDon,20220902,2
CH_C2-Weekday,20220628,1
CH_C2-Weekday,20220629,1
CH_C2-Weekday,20220630,1
CH_C2-Weekday,20220701,1
CH_C2-Weekday,20220815,1
CH_C2-Weekday,20220816,1
CH_C2-Weekday,20220817,1
CH_C2-Weekday,20220818,1
CH_C2-Weekday,20220819,1
CH_C2-Weekday,20220822,1
CH_C2-Weekday,20220823,1
CH_C2-Weekday,20220824,1
CH_C2-Weekday,20220825,1
CH_C2-Weekday,20220826,1
CH_C2-Weekday,20220829,1
CH_C2-Weekday,20220830,1
CH_C2-Weekday,20220831,1
CH_C2-Weekday,20220901,1
CH_C2-Weekday,20220902,1
CH_C2-Saturday,20220704,1
MA_C2-Weekday-SDon,20220704,2
MA_C2-Weekday-SDon,20220628,2
MA_C2-Weekday-SDon,20220629,2
MA_C2-Weekday-SDon,20220630,2
MA_C2-Weekday-SDon,20220701,2
MA_C2-Weekday-SDon,20220815,2
MA_C2-Weekday-SDon,20220816,2
MA_C2-Weekday-SDon,20220817,2
MA_C2-Weekday-SDon,20220818,2
MA_C2-Weekday-SDon,20220819,2
MA_C2-Weekday-SDon,20220822,2
MA_C2-Weekday-SDon,20220823,2
MA_C2-Weekday-SDon,20220824,2
MA_C2-Weekday-SDon,20220825,2
MA_C2-Weekday-SDon,20220826,2
MA_C2-Weekday-SDon,20220829,2
MA_C2-Weekday-SDon,20220830,2
MA_C2-Weekday-SDon,20220831,2
MA_C2-Weekday-SDon,20220901,2
MA_C2-Weekday-SDon,20220902,2
MA_C2-Weekday,20220628,1
MA_C2-Weekday,20220629,1
MA_C2-Weekday,20220630,1
MA_C2-Weekday,20220701,1
MA_C2-Weekday,20220815,1
MA_C2-Weekday,20220816,1
MA_C2-Weekday,20220817,1
MA_C2-Weekday,20220818,1
MA_C2-Weekday,20220819,1
MA_C2-Weekday,20220822,1
MA_C2-Weekday,20220823,1
MA_C2-Weekday,20220824,1
MA_C2-Weekday,20220825,1
MA_C2-Weekday,20220826,1
MA_C2-Weekday,20220829,1
MA_C2-Weekday,20220830,1
MA_C2-Weekday,20220831,1
MA_C2-Weekday,20220901,1
MA_C2-Weekday,20220902,1
MA_C2-Saturday,20220704,1
YU_C2-Weekday-SDon,20220704,2
YU_C2-Weekday-SDon,20220628,2
YU_C2-Weekday-SDon,20220629,2
YU_C2-Weekday-SDon,20220630,2
YU_C2-Weekday-SDon,20220701,2
YU_C2-Weekday-SDon,20220815,2
YU_C2-Weekday-SDon,20220816,2
YU_C2-Weekday-SDon,20220817,2
YU_C2-Weekday-SDon,20220818,2
YU_C2-Weekday-SDon,20220819,2
YU_C2-Weekday-SDon,20220822,2
YU_C2-Weekday-SDon,20220823,2
YU_C2-Weekday-SDon,20220824,2
YU_C2-Weekday-SDon,20220825,2
YU_C2-Weekday-SDon,20220826,2
YU_C2-Weekday-SDon,20220829,2
YU_C2-Weekday-SDon,20220830,2
YU_C2-Weekday-SDon,20220831,2
YU_C2-Weekday-SDon,20220901,2
YU_C2-Weekday-SDon,20220902,2
YU_C2-Weekday,20220628,1
YU_C2-Weekday,20220629,1
YU_C2-Weekday,20220630,1
YU_C2-Weekday,20220701,1
YU_C2-Weekday,20220815,1
YU_C2-Weekday,20220816,1
YU_C2-Weekday,20220817,1
YU_C2-Weekday,20220818,1
YU_C2-Weekday,20220819,1
YU_C2-Weekday,20220822,1
YU_C2-Weekday,20220823,1
YU_C2-Weekday,20220824,1
